smiles,charge
C[S@@+](CCCN)C[C@@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@H]1O,"[-0.2177358481, 0.2849600502, -0.1434221408, -0.1924666345, -0.0838868592, -0.799511772, -0.1626281617, -0.2002356244, -0.4667773321, 0.0898327335, -0.2728369108, 0.2765500961, -0.3412056198, 0.1002683258, 0.2777419515, -0.7362130848, -0.3677951759, 0.1660144846, -0.1832480775, 0.0792583318, 0.004547655, -0.5225494005, 0.0092253952, -0.3476318788, 0.1628836033, 0.1465167142, 0.1674090336, 0.1550622219, 0.1421603094, 0.124111073, 0.1260275084, 0.1111139254, 0.1312648237, 0.3484141218, 0.3588751661, 0.1511017154, 0.1292527375, 0.111123541, 0.1281133232, 0.1983377834, 0.3947886201, 0.3943019931, 0.17197688, 0.1615183581, 0.3693536089, 0.1451338938, 0.4209045417]"
C[S@@+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@H]1O,"[-0.2150079729, 0.27917826, -0.1515588454, -0.1851015273, 0.0128282131, -0.7795990543, 0.3041834858, -0.3392433552, -0.4865894922, -0.1874655765, -0.2561470915, -0.4620131949, 0.09139763, -0.2713138163, 0.2852666393, -0.3399406362, 0.1042234791, 0.279634711, -0.7346594615, -0.3646965626, 0.1685565289, -0.1759766356, 0.0760339413, 0.0083163617, -0.5180545652, 0.033299307, -0.353300467, 0.1690227566, 0.1479643661, 0.1690207023, 0.1524279409, 0.1419490219, 0.1336116264, 0.1357590305, 0.1481630723, 0.3617816651, 0.3700854103, 0.412303045, 0.1436964471, 0.137100409, 0.143581087, 0.1397063221, 0.2014946204, 0.394803135, 0.3947167781, 0.1727288529, 0.171972388, 0.3633789489, 0.1567196933, 0.4157623781]"
N[C@@H](CSCC(=O)O)C(=O)O,"[-0.7839760155, 0.0175013488, -0.1853125661, -0.0849741333, -0.1663546776, 0.321330145, -0.3419470026, -0.4725690958, 0.3216484774, -0.3478187336, -0.4807999323, 0.3385798681, 0.3499361775, 0.1466070259, 0.1047992797, 0.119022822, 0.1306226668, 0.1321307884, 0.4448023945, 0.4367711628]"
C[C@@](O)(CC(=O)O)C(=O)O,"[-0.3124239596, 0.1017603468, -0.5440456677, -0.1897842129, 0.3395141845, -0.3351771746, -0.4683658217, 0.3265876006, -0.3450762528, -0.4749141975, 0.116565031, 0.1057518229, 0.1194014478, 0.4013810976, 0.1300284963, 0.1394597525, 0.4494638682, 0.4398736389]"
C[C@H](O)C(=O)SC[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O,"[-0.2960051528, 0.0224953706, -0.5218692422, 0.1955836159, -0.3733920956, -0.0177525015, -0.1516880504, 0.0429462406, -0.5536147005, 0.3096411225, -0.3706975232, -0.1938668208, -0.1835964038, 0.0078594296, -0.7859765024, 0.3080925283, -0.3729776592, -0.4950212787, 0.2945261959, -0.3800183463, -0.5505996456, -0.0470168704, 0.3287560044, -0.3584212856, -0.4713238317, 0.1051391424, 0.1120287227, 0.1194848971, 0.1530723786, 0.4088030624, 0.1340313718, 0.1382022272, 0.150409581, 0.391737136, 0.129572751, 0.1240045242, 0.1364961978, 0.12747239, 0.1385294502, 0.3521959313, 0.350616139, 0.4151969056, 0.379670572, 0.1525029122, 0.1459667206, 0.4488043897]"
O=S([O-])([O-])=S,"[-0.5914465523, 0.5854764867, -0.6793784406, -0.6793778054, -0.6352736884]"
O=[S@@]([O-])[S@@](=O)[O-],"[-0.6039919694, 0.287138451, -0.683144661, 0.2871362189, -0.6039942465, -0.683143793]"
N[C@H](CCCCN[C@H](CCC(=O)O)C(=O)O)C(=O)O,"[-0.7802528194, 0.0102123667, -0.2001190817, -0.1993840513, -0.1980217252, -0.0747362233, -0.6072093011, 0.0202826012, -0.1911631677, -0.1994761791, 0.3191346038, -0.3679849657, -0.4893491151, 0.312695986, -0.3565058645, -0.4853318746, 0.3090036025, -0.3617096055, -0.4865711439, 0.3367841058, 0.353339705, 0.1380844409, 0.1202948898, 0.1144107952, 0.1113809581, 0.1049092992, 0.1077709908, 0.1177850125, 0.1288849352, 0.1097530652, 0.3306716331, 0.1415223891, 0.1286302327, 0.1231938347, 0.1289552453, 0.116907985, 0.4396861275, 0.4368497235, 0.4366705892]"
CNCC(=O)O,"[-0.176309365, -0.6196500429, -0.0739737417, 0.3168983286, -0.3587883701, -0.4859234589, 0.1248472867, 0.0963527667, 0.1199787044, 0.3569819984, 0.1413292083, 0.1183068833, 0.4399498021]"
Nc1ncnc2c1ncn2[C@@H]1O[C@@H](CO[P@](=O)(O)OC(=O)[C@@H](N)CO)[C@H](O)[C@H]1O,"[-0.6811516008, 0.1148375115, -0.3842533235, 0.2678751159, -0.3491819757, 0.1228137921, 0.1380722272, -0.2818892234, 0.1878994169, -0.2395137725, 0.0442369798, -0.386091577, -0.0246792977, -0.1115033226, -0.3149027956, 0.6861083826, -0.3729670567, -0.558187341, -0.2289103471, 0.3276489171, -0.3605028199, 0.0169120267, -0.761376631, -0.0705114154, -0.5403020631, 0.000427834, -0.5245114743, 0.0191860666, -0.4822262859, 0.4099926816, 0.3934126584, 0.1535021908, 0.1781420095, 0.1666934189, 0.1270209675, 0.1372215263, 0.1243427311, 0.4141288638, 0.1492961863, 0.3564118421, 0.3581606703, 0.1212561269, 0.1408041704, 0.4054444186, 0.1489140309, 0.3934224064, 0.1521097859, 0.4163673669]"
O=C(O)C1=C[C@H](O)[C@@H](O)[C@H](O)C1,"[-0.3699284822, 0.3048295514, -0.4898910893, -0.0104140604, -0.1388051457, 0.0011456134, -0.5091811852, 0.0306052566, -0.5110957128, -0.0298582187, -0.4442640076, -0.2638656448, 0.429350088, 0.1210541277, 0.1400811455, 0.3954924374, 0.1563782524, 0.3951149255, 0.1857390499, 0.4091881925, 0.0955242276, 0.1028006787]"
O=C(O)C1=C[C@@H](OP(=O)(O)O)[C@H](O)[C@@H](O)C1,"[-0.3772826423, 0.3078777385, -0.4704318944, 0.0523189707, -0.292448102, 0.0076386049, -0.3617959867, 0.2831269436, -0.5263410579, -0.4803965243, -0.6152898172, 0.0320585445, -0.5160289663, 0.0799592077, -0.4488458099, 0.0185419635, 0.4366942876, 0.1409443772, 0.1315340218, 0.4785945258, 0.3766836299, 0.150145509, 0.4159754909, 0.2182446791, 0.4206692549, 0.2190724733, 0.318780578]"
O=S([O-])[O-],"[-0.6823105965, 0.2657552746, -0.7917225396, -0.7917221384]"
O=S(O)O,"[-0.445514866, 0.61069445, -0.5206996868, -0.5206937251, 0.4381070359, 0.438106792]"
O=C(CO)[C@H](O)[C@@H](O)[C@H](O)CO,"[-0.1613975077, -0.0875244834, -0.0881435535, -0.5593133863, -0.0256392126, -0.5450910841, -0.0159406513, -0.5397437783, -0.0044584735, -0.5234566382, -0.0866337618, -0.1709019791, 0.1044629971, 0.1095755515, 0.3920863458, 0.1272963418, 0.3715074025, 0.1317559376, 0.3991821798, 0.1271570937, 0.3896543775, 0.1077810108, 0.1548755402, 0.3929097314]"
NCCCCNCCCN,"[-0.8126306528, -0.0924568187, -0.2001328879, -0.2007099145, -0.089234565, -0.6313384362, -0.0889679229, -0.1980914725, -0.0922976083, -0.8114577661, 0.3342831341, 0.334754767, 0.0973271192, 0.1200670809, 0.1121099387, 0.1055942495, 0.1053370686, 0.1116519135, 0.1215558325, 0.098920421, 0.3432937406, 0.1199683064, 0.0999129593, 0.11248464, 0.1123930142, 0.0985345968, 0.1181956098, 0.3362812635, 0.3346523895]"
NCCCNCCCCNCCCN,"[-0.8114408708, -0.0923153577, -0.1980971313, -0.0890216509, -0.6316112185, -0.0893813039, -0.2010906961, -0.2010930969, -0.089379949, -0.6316148392, -0.0890188641, -0.1980992195, -0.0923167838, -0.8114396238, 0.3346554601, 0.3362072344, 0.0984110337, 0.1183130673, 0.1126280418, 0.1122205612, 0.1196426111, 0.1001809551, 0.3435797177, 0.1204410892, 0.0999422979, 0.1072527651, 0.1094823391, 0.1072559163, 0.1094833317, 0.1204415094, 0.0999424929, 0.3435818221, 0.1196406742, 0.1001804961, 0.112629334, 0.1122215687, 0.0984107457, 0.1183143179, 0.3362027817, 0.3346584408]"
CCCCCCCCCCCCCC=C[C@@H](O)[C@H](N)CO,"[-0.3025312657, -0.2063953638, -0.2054349849, -0.2059809963, -0.2063401204, -0.2064245354, -0.2064889553, -0.2064194749, -0.2064036689, -0.205978433, -0.2061520571, -0.2042509381, -0.1983932132, -0.1379752924, -0.1528898084, 0.0042434553, -0.5338094039, -0.009331379, -0.7948680069, -0.0929566034, -0.5324962596, 0.0972549779, 0.100104002, 0.1000461917, 0.1029361994, 0.1028645261, 0.1040527378, 0.1041239863, 0.1038710116, 0.1037732179, 0.1034954342, 0.1036140993, 0.1036253242, 0.1034718905, 0.1033797322, 0.1035920617, 0.1037262937, 0.1034596758, 0.1033184433, 0.1037739503, 0.1042469412, 0.103763567, 0.1033171548, 0.1045490521, 0.1059464683, 0.1058158594, 0.1076190442, 0.1116769413, 0.1230234038, 0.1198378295, 0.1306524196, 0.3910672855, 0.1328654942, 0.3468264292, 0.3385702531, 0.1034647003, 0.1282030619, 0.4013476442]"
CC(C)=CCCC(C)=CCCC(C)=CCCC=C(C)CCC=C(C)CCC=C(C)C,"[-0.2909999144, -0.0313012236, -0.2892374788, -0.1647767995, -0.1982615375, -0.1950513519, -0.0321403579, -0.2947148312, -0.1636733019, -0.1986663623, -0.1956903567, -0.033262024, -0.2949285078, -0.1634771247, -0.1990096416, -0.2003875122, -0.1631520683, -0.033693184, -0.2922134554, -0.1959341503, -0.200152149, -0.1631507454, -0.033023649, -0.2919451672, -0.1953522548, -0.1998854894, -0.1613981743, -0.0320711424, -0.2908726169, -0.2910432165, 0.1031340094, 0.1095863144, 0.1095862089, 0.104380676, 0.1100768715, 0.1100763047, 0.1141577464, 0.1126763174, 0.1126758676, 0.1117577815, 0.1117590558, 0.1058563909, 0.1082823167, 0.1082812793, 0.1137772796, 0.1125281438, 0.1125294122, 0.1111498783, 0.1111493234, 0.105358304, 0.1080988464, 0.1080981581, 0.1135085137, 0.1083471355, 0.1083471606, 0.1091723753, 0.1091717048, 0.1140678272, 0.109831943, 0.1071253081, 0.1071239197, 0.1111396718, 0.1111394854, 0.1111879208, 0.1111883371, 0.1141895669, 0.1100275486, 0.1075216809, 0.1075220382, 0.1117061955, 0.1117057204, 0.1118394774, 0.1118396466, 0.1133051127, 0.1110270112, 0.1069855843, 0.1069859457, 0.1092441295, 0.1046182844, 0.1046200571]"
O=C(O)CCC(=O)O,"[-0.3743757244, 0.3121341259, -0.4882024596, -0.1752447285, -0.1921501352, 0.3198442377, -0.3517507397, -0.4797667462, 0.423678409, 0.1503962203, 0.1503976355, 0.1310249876, 0.1310251673, 0.4429897503]"
O=CCCC(=O)O,"[-0.3567592122, 0.129372847, -0.1859749353, -0.189504921, 0.3182804021, -0.3577419262, -0.4830604088, 0.1396389609, 0.1437491384, 0.1437488788, 0.1279159576, 0.1279153427, 0.4424198759]"
O=C(O)CCC(=O)C1=C(C(=O)O)[C@H](O)CC=C1,"[-0.3700240103, 0.3136130594, -0.4828016612, -0.1808693401, -0.1870630081, 0.2776841856, -0.6309314266, -0.0450289027, -0.0031163357, 0.2613303159, -0.3837878998, -0.5062149511, 0.0124792154, -0.5099082473, -0.1915841997, -0.0676294061, -0.1849246726, 0.4271621783, 0.1480069914, 0.147712304, 0.1403275278, 0.1356696457, 0.7720229818, 0.1379093956, 0.3978922753, 0.1385300757, 0.1615119779, 0.147846823, 0.1241851084]"
O=S(=O)([O-])[O-],"[-0.6207014048, 0.6649120254, -0.6207029632, -0.7117542655, -0.7117533919]"
O=S(=O)(O)O,"[-0.4275750491, 0.8397986987, -0.4275739097, -0.4568089423, -0.4568104201, 0.4644830521, 0.4644865705]"
O=S=O,"[-0.3346251346, 0.6692513086, -0.334626174]"
O=C[C@H](O)C(=O)O,"[-0.3247693175, 0.1322268156, 0.0229158638, -0.5042581297, 0.3148501751, -0.3371405504, -0.4725529961, 0.1477491999, 0.1589572865, 0.420353745, 0.4416679079]"
NCCS(=O)(=O)O,"[-0.7990375066, -0.0757112954, -0.1495993321, 0.7144894285, -0.4547370901, -0.4344535024, -0.4782939497, 0.3544519282, 0.3420944982, 0.1198042014, 0.1385327172, 0.1441649666, 0.1452617415, 0.4330331948]"
C1CCSC1,"[-0.1679789005, -0.1819286232, -0.1875821165, -0.2931119118, -0.1171433513, 0.1264549187, 0.1315144406, 0.1137161692, 0.1133973564, 0.1091177893, 0.1090300858, 0.111195749, 0.1333183944]"
O=S1CCCC1,"[-0.4774759171, 0.3706468535, -0.1716009321, -0.1789991131, -0.1731060143, -0.3146687416, 0.1409528244, 0.1259367487, 0.1299699633, 0.1206834344, 0.1001538821, 0.1228038902, 0.0953629029, 0.1093402186]"
O=C(O)CS,"[-0.3738848548, 0.3089828687, -0.4880348739, -0.1449090102, -0.1801808198, 0.4047960559, 0.1488894516, 0.1676732177, 0.1566679648]"
Cc1cn([C@@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O,"[-0.2741042283, -0.0030809352, -0.032780955, -0.2979598795, 0.1655540914, -0.2111778936, 0.2102966023, -0.4819743482, 0.0001732388, -0.0759977444, -0.5249877816, -0.1533074831, 0.3732193838, -0.4278740496, -0.7422440334, -0.2717730639, -0.2736905401, 0.1284293132, 0.1117246027, 0.1166525393, 0.1483663927, 0.189813507, 0.1995603825, 0.1439202514, 0.3369410827, 0.4400928934, 0.1425283212, 0.1305673509, 0.1413800662, 0.4065469372, 0.3851859792]"
Cc1c[nH]c(=O)[nH]c1=O,"[-0.2685066031, -0.0506217567, 0.1171421138, -0.4718467544, 0.3968401027, -0.4139188448, -0.6487169599, 0.1820803273, -0.2132459077, 0.1240358857, 0.1220639852, 0.1220647745, 0.1838992409, 0.4161289669, 0.4026014295]"
Cc1ncsc1CCO,"[-0.2806128877, 0.1646359139, -0.3152388352, 0.0915111319, -0.1344312937, -0.0747831834, -0.2085871981, -0.0846803408, -0.5607668245, 0.1217069713, 0.1235893819, 0.12503132, 0.1343936576, 0.1394729271, 0.119221653, 0.1104370157, 0.1315618406, 0.3975387503]"
Cc1ncsc1CCOP(=O)(O)O,"[-0.2795276404, 0.1685369209, -0.3114340207, 0.0937334576, -0.1244107684, -0.0625898834, -0.2019517128, -0.0808658363, -0.3542890399, 0.674672846, -0.4492578544, -0.4957072046, -0.4637931316, 0.1222991211, 0.124665704, 0.1261737981, 0.1366808507, 0.1300505189, 0.1312176772, 0.1216448807, 0.1366605054, 0.4256600508, 0.4318307611]"
Cc1cn([C@@H]2C[C@@H](O)[C@@H](COP(=O)(O)O)O2)c(=O)[nH]c1=O,"[-0.2692072124, -0.041102796, 0.0720998239, -0.2980395332, 0.1724098825, -0.1769973667, 0.0290443254, -0.4707870815, 0.0127294023, -0.0693695382, -0.2783363451, 0.6284006996, -0.4694815278, -0.5045551148, -0.478318991, -0.1664634142, 0.375602746, -0.4477993397, -0.7108396715, 0.1790514418, -0.2557530871, 0.1222712272, 0.1243816065, 0.122948998, 0.1829761575, 0.1948891302, 0.107441041, 0.1319945028, 0.1602045249, 0.3964546568, 0.1343792802, 0.137337419, 0.1219796623, 0.4115073277, 0.4273519968, 0.3915951667]"
Cc1ccccc1,"[-0.2849303053, -0.0284105122, -0.1231408049, -0.1184384787, -0.1228142666, -0.1471790317, -0.1781703257, 0.1095625647, 0.1131003875, 0.1131010511, 0.1238545956, 0.1184308067, 0.1450188944, 0.1494271375, 0.1305882875]"
CC1=CC=C[C@@H](O)[C@@H]1O,"[-0.2764977623, -0.0311774382, -0.1583854271, -0.1555934542, -0.1417807528, -0.0687913856, -0.4775727163, -0.0505378738, -0.4545243033, 0.1177863287, 0.1124034139, 0.1124026031, 0.1218286135, 0.1167304758, 0.1428029545, 0.1800043777, 0.3897870891, 0.1292825966, 0.3918326608]"
C[N+](C)(C)[O-],"[-0.151838181, -0.2048932868, -0.1518407499, -0.1517959086, -0.5406040464, 0.1157871615, 0.142264088, 0.1422619218, 0.115789034, 0.1422597998, 0.1422720615, 0.1157953588, 0.1422715538, 0.1422711935]"
CN(C)C,"[-0.1761588619, -0.4749094132, -0.1761622591, -0.1761555183, 0.1188598089, 0.0967446968, 0.1188603718, 0.1188630083, 0.1188614913, 0.0967387117, 0.1188604099, 0.0967414288, 0.118856125]"
C[S+](C)C,"[-0.2324280574, 0.2432164663, -0.2324245428, -0.2323986548, 0.1681761003, 0.1483249911, 0.1681799079, 0.1681812084, 0.168176752, 0.1483274217, 0.1681704602, 0.148326759, 0.1681711881]"
N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,"[-0.7911682875, 0.0078426645, -0.2050442735, -0.1777977482, -0.0207095549, -0.4583950664, 0.0770289006, -0.112040245, -0.0981729122, -0.1152721892, -0.1118362143, -0.0705020166, 0.3152521623, -0.3637571147, -0.4882188449, 0.3283967134, 0.3439560328, 0.1397164347, 0.1026477648, 0.1286406903, 0.1357973182, 0.41620609, 0.1378511038, 0.1387994644, 0.1449141879, 0.1626225874, 0.4332423525]"
NCCc1c[nH]c2ccccc12,"[-0.8130267964, -0.0948559813, -0.1966962197, -0.165847321, -0.0223207547, -0.4637636485, 0.0734812118, -0.1170347753, -0.101290055, -0.1224244912, -0.1333759741, -0.0866379746, 0.3356615098, 0.3336497154, 0.0971653039, 0.1193819521, 0.1289322973, 0.1099903595, 0.1366334547, 0.4139644994, 0.1349877388, 0.1368505769, 0.1404037593, 0.1561716129]"
Cc1cn([C@H]2C[C@@H](O)[C@H](CO[P@](=O)(O)O[P@@](=O)(O)OP(=O)(O)O)O2)c(=O)[nH]c1=O,"[-0.2685713256, -0.0283730113, 0.0811851244, -0.272802506, 0.1555266186, 0.0482193134, 0.0205830112, -0.5042744571, 0.0369600946, -0.1005076915, -0.2818658689, 0.6300447039, -0.4191802449, -0.5390930978, -0.3665689857, 0.3589060545, -0.4285410275, -0.5158753059, -0.6108281209, 0.2014408714, -0.4803600751, -0.4389298778, -0.6131741831, 0.0179283102, 0.3755021324, -0.4535459038, -0.7101239652, 0.3096582056, -0.3631219932, 0.1252193273, 0.1277291776, 0.1290722369, 0.1797217631, 0.208145358, 0.7066692054, 0.2354324948, 0.1498231601, 0.388790959, 0.1876932044, 0.1984024628, 0.146577048, 0.4244970836, 0.5028424308, 0.6571762213, 0.3940527012, 0.3979383665]"
N[C@@H](Cc1ccc(O)cc1)C(=O)O,"[-0.7869013147, 0.0098720983, -0.1869423178, -0.0202557849, -0.1301101374, -0.1106043226, 0.0991100232, -0.5161625146, -0.1499886028, -0.1701982241, 0.3171016651, -0.3565259668, -0.4823488781, 0.3277878388, 0.351425054, 0.1406145221, 0.1138125999, 0.1264014825, 0.1261682744, 0.1326512287, 0.4227147328, 0.1579366818, 0.1484533681, 0.4359884941]"
O=c1ccn([C@H]2O[C@H](CO[P@@](=O)(O)OP(=O)(O)O)[C@@H](O)[C@@H]2O)c(=O)[nH]1,"[-0.3420517079, 0.2829524028, -0.0858243273, 0.0383472383, -0.3471658585, 0.0774619251, -0.3452354558, -0.0144996022, -0.1168861618, -0.2688046767, 0.5586865408, -0.4344346897, -0.3528079671, -0.3034960156, 0.5937498063, -0.2714815608, -0.5093680895, -0.4900679838, 0.0146212147, -0.5018831981, 0.0458759299, -0.4740395094, 0.240327768, -0.2528823, -0.5860999459, 0.1582609398, 0.1769893185, 0.288941262, 0.1192961462, 0.1196617112, 0.1498970833, 0.4439502389, 0.4276939992, 0.4269775867, 0.155014099, 0.3985032566, 0.163204071, 0.4186103083, 0.3980062037]"
O=c1ccn([C@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@@H]2O)c(=O)[nH]1,"[-0.3368698436, 0.2831023714, -0.1140485023, 0.0409142186, -0.368108541, -0.0027729986, -0.3962722942, -0.0223166102, -0.0373505471, -0.1935652713, 0.503758866, -0.4376569281, -0.5236944478, -0.4918072277, 0.0112242111, -0.5271851544, 0.0298769523, -0.2932908092, 0.2402481118, -0.2889867767, -0.5820277235, 0.1423862714, 0.1667818353, 0.2877858584, 0.1183637597, 0.1872026185, 0.167828142, 0.3909791897, 0.4265002783, 0.1653095708, 0.401126015, 0.1628140515, 0.494647592, 0.3951037619]"
O=c1cc[nH]c(=O)[nH]1,"[-0.331645291, 0.2858994613, -0.1377491943, 0.0578217022, -0.4645695102, 0.2760466081, -0.2447740167, -0.5749177029, 0.1412234904, 0.164342888, 0.43340545, 0.3949161151]"
O=c1[nH]c(=O)c2[nH]c(=O)[nH]c2[nH]1,"[-0.3615362307, 0.4448294197, -0.4742093312, 0.3441513247, -0.2948521, 0.0691693244, -0.5082066422, 0.4291938964, -0.3092846459, -0.5721969994, -0.0476723277, -0.4519415916, 0.4372632186, 0.4165153189, 0.4293434986, 0.4494338674]"
NC(N)=O,"[-0.7561322556, 0.3944563567, -0.7561324373, -0.4536107096, 0.3820554757, 0.4036535034, 0.3820556722, 0.4036543945]"
O=c1ccn([C@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)[nH]1,"[-0.3638290871, 0.2753907863, -0.1218112991, 0.0430462673, -0.3712004464, -0.0387259598, -0.4057803077, -0.0253571199, -0.0824234297, -0.5512160406, 0.0244191582, -0.5035945101, 0.0666364874, -0.7200737378, 0.2556231823, -0.2661192821, -0.5960335026, 0.1294906995, 0.1708761577, 0.280221001, 0.1190362006, 0.1203325488, 0.1670248932, 0.7524465234, 0.1732631674, 0.3906354817, 0.1823619247, 0.5025524039, 0.3928078395]"
O=C(O)C=Cc1cnc[nH]1,"[-0.3727829342, 0.3062993, -0.488164141, -0.1037034469, -0.1014557997, 0.1442540068, -0.0328569847, -0.221603493, 0.0888964202, -0.6567969203, 0.4283627742, 0.1484637017, 0.1280700674, 0.1323461967, 0.214323311, 0.3863479417]"
O=c1ccn([C@@H]2O[C@@H](CO[P@](=O)(O)O[P@@](=O)(O)OP(=O)(O)O)[C@H](O)[C@H]2O)c(=O)[nH]1,"[-0.3365468997, 0.2718327605, -0.0703192439, 0.0370239337, -0.2370242943, 0.0795330044, -0.3289487423, -0.0156098449, -0.1147542422, -0.2837591827, 0.5273773853, -0.4148623817, -0.1731370076, -0.2947026883, 0.4078115393, -0.1276708104, -0.520120414, -0.378621794, 0.4669955052, -0.2584140892, -0.5048504402, -0.5170936542, -0.0136637315, -0.5154259225, 0.005756317, -0.4916642203, 0.1806458012, -0.2893684697, -0.6093043446, 0.1909091726, 0.1643808327, 0.1840367173, 0.1650353495, 0.1394693306, 0.1175701993, 0.7286880048, 0.4131382032, 0.4280914001, 0.4152925126, 0.2027229384, 0.3881699895, 0.1793261876, 0.4085154418, 0.3935398916]"
CC(C)[C@@H](N)C(=O)O,"[-0.2991546444, -0.1162087448, -0.3139703522, 0.011840957, -0.8003999959, 0.3290736522, -0.3467224773, -0.4794454683, 0.1103284788, 0.1030818855, 0.0992966458, 0.1175381129, 0.0942490334, 0.0992922819, 0.1117813423, 0.1403472016, 0.3504053094, 0.3456035763, 0.443063206]"
COc1cc(C=O)ccc1O,"[-0.1584088583, -0.2746724645, 0.110394224, -0.1359938592, -0.0057295264, 0.0800045686, -0.1841633162, -0.1943765805, -0.3052209379, 0.1777278995, -0.4466801787, 0.1296470035, 0.1208764546, 0.1206194302, 0.1426405763, 0.1526061174, 0.1010171118, 0.1105996466, 0.4591126892]"
O=c1[nH]c(=O)c2[nH]cnc2[nH]1,"[-0.3739448218, 0.4367822497, -0.4784869795, 0.3417934236, -0.2965601712, 0.0681203397, -0.4971304064, 0.1763151442, -0.2942129005, -0.0816249025, -0.4840140105, 0.4334624689, 0.4212753182, 0.1866086033, 0.4416166448]"
O=c1[nH]c(=O)c2ncn([C@H]3O[C@@H](CO)[C@@H](O)[C@@H]3O)c2[nH]1,"[-0.3849172089, 0.4339030659, -0.4818531661, 0.3394308642, -0.2784091124, 0.0711890661, -0.3251516744, 0.2065677655, -0.4094489936, 0.0634926637, -0.3518083075, -0.0244409573, -0.0695400583, -0.5302547792, 0.0220145048, -0.5058726205, 0.0254292532, -0.4933357111, -0.0122388666, -0.4876625528, 0.430089559, 0.1506287918, 0.2770308088, 0.11225363, 0.1158528909, 0.1404064681, 0.408447154, 0.1541282223, 0.4036663123, 0.1486925782, 0.4110750584, 0.4406353518]"
O=c1[nH]c(=O)c2ncn([C@@H]3O[C@@H](COP(=O)(O)O)[C@H](O)[C@H]3O)c2[nH]1,"[-0.3717362552, 0.4397935229, -0.4796288288, 0.3435881936, -0.2661584588, 0.0786380694, -0.3252775263, 0.1957477737, -0.3464764856, 0.1044388301, -0.3291156562, -0.010673923, -0.1218857529, -0.2612061509, 0.6478322052, -0.4517983157, -0.5078126311, -0.4732648162, 0.0270664653, -0.5135653038, 0.0371178415, -0.5038275332, -0.0004424134, -0.4650394542, 0.433280307, 0.1459689115, 0.1626448111, 0.1347604896, 0.1294131322, 0.1178088823, 0.419543163, 0.4295678284, 0.1607190119, 0.3904316334, 0.171513477, 0.41029436, 0.4477405967]"
O=C(COP(=O)(O)O)[C@@H](O)[C@H](O)COP(=O)(O)O,"[-0.3121641619, 0.2110560324, -0.0587938668, -0.3030549683, 0.6830226625, -0.4610224621, -0.4789841253, -0.4622303851, 0.0126855246, -0.5379621653, 0.0116216587, -0.5293349304, -0.0933456735, -0.2587159393, 0.6336275765, -0.4523123766, -0.503676561, -0.476414916, 0.1538946559, 0.1564473139, 0.4362968781, 0.4334145167, 0.1527684975, 0.3882921022, 0.150496222, 0.4106215516, 0.1283587279, 0.12149345, 0.4152334195, 0.4286817416]"
O=C(COP(=O)(O)O)[C@@H](O)[C@H](O)[C@@H](O)[C@H](O)COP(=O)(O)O,"[-0.3479054032, 0.2225953157, -0.065280864, -0.2719010774, 0.6617164184, -0.4613352397, -0.489499062, -0.4657630972, 0.0065591695, -0.5001158008, 9.79134e-05, -0.5252728263, -0.0011292888, -0.544314114, -0.0060855639, -0.5208813677, -0.1028369234, -0.2726863428, 0.6539142146, -0.4512318793, -0.5003830664, -0.463225157, 0.1490783603, 0.1370233301, 0.4366457433, 0.4300665587, 0.1448990659, 0.4050007397, 0.1451512937, 0.3952516199, 0.1487784088, 0.4013365673, 0.1461006008, 0.4092153898, 0.1271772239, 0.1295662865, 0.4065555557, 0.4331172977]"
O=C(O)C1=NCCCC1,"[-0.3577850221, 0.3150657508, -0.4765757961, 0.1773216842, -0.4000558132, -0.0734681411, -0.1765353296, -0.1679625614, -0.2282038017, 0.4366819472, 0.1253061426, 0.1270215151, 0.1304005009, 0.1264203577, 0.0986859142, 0.116623175, 0.1095171688, 0.1175423086]"
C=C(C)CCO[P@@](=O)(O)OP(=O)(O)O,"[-0.2653435198, -0.0193836831, -0.286368396, -0.1873552205, -0.0810095677, -0.2781304023, 0.620745331, -0.4396630042, -0.4935307233, -0.2533507232, 0.6764634285, -0.3858078333, -0.5294851057, -0.4563203086, 0.1154610894, 0.1160157828, 0.1178528094, 0.1078027913, 0.1104619249, 0.1230341289, 0.1304736655, 0.1240892088, 0.1149515135, 0.4368293159, 0.4526694521, 0.4288980458]"
O=C(O)[C@H]1CCC=N1,"[-0.3886115584, 0.2663858528, -0.5036218293, 0.0052964979, -0.1723377637, -0.1620106829, 0.0827507287, -0.3614301928, 0.4217204437, 0.1659639796, 0.0990775618, 0.1221993254, 0.1592076983, 0.1249355812, 0.1404743577]"
