smiles,charge
O=C(O)C1=N[C@H](C(=O)O)CC=C1,"[-0.3561689636, 0.3328007747, -0.4609625886, 0.140508764, -0.5174716325, 0.0012374465, 0.3006774947, -0.3550167311, -0.4772727474, -0.1655731826, -0.0479905264, -0.0403100607, 0.439218308, 0.1353068495, 0.4361371607, 0.1438965769, 0.1555775248, 0.1584706346, 0.1769348987]"
O=C(O)C(=O)C(=O)[C@@H](O)[C@H](O)CO,"[-0.3404281939, 0.3132883247, -0.4694263504, 0.2220927482, -0.2478281811, 0.1703525742, -0.3474256786, 0.0143902728, -0.5269851397, -0.0032162482, -0.5178314821, -0.0580311408, -0.2143146227, 0.4235042369, 0.174764121, 0.3806478687, 0.1441048982, 0.4071721589, 0.1563729337, 0.1787977841, 0.1399991158]"
O=C(O)c1cccc(O)c1O,"[-0.3388244228, 0.297291969, -0.4901171009, -0.0090107725, -0.033479669, -0.0349483651, -0.1012881071, -0.0903974401, -0.4646240933, -0.0504735512, -0.4284890778, 0.4279405807, 0.1475781858, 0.1449760438, 0.1155622249, 0.4534051471, 0.4548984485]"
O=C(O)CCc1cccc(O)c1O,"[-0.3909911927, 0.3057921703, -0.4946648931, -0.1991462229, -0.2052998499, -0.0039123222, -0.039741915, -0.0392911596, -0.1136882653, -0.1005384795, -0.4717709996, -0.0687787322, -0.4295964091, 0.4218353041, 0.1426469802, 0.14264664, 0.1178272818, 0.1178275061, 0.1483776392, 0.1413928372, 0.1128127057, 0.4500907526, 0.456170624]"
CC[C@](O)(C(C)=O)C(=O)O,"[-0.2990145998, -0.1866886142, 0.0988224617, -0.4803687555, 0.2119082697, -0.2981978437, -0.3326221028, 0.3078029645, -0.3554909363, -0.4750525169, 0.1043825006, 0.106792896, 0.114296798, 0.1133029235, 0.1286028466, 0.4175599482, 0.1166491784, 0.1371702996, 0.1317957349, 0.4383485477]"
CC(=O)[C@@](C)(O)C(=O)O,"[-0.28459774, 0.2090185204, -0.3143944553, 0.1004251822, -0.2914965987, -0.5139495737, 0.3178131295, -0.3216282088, -0.4785534572, 0.1361128304, 0.1196283246, 0.1204376228, 0.1152471511, 0.1256472675, 0.117688073, 0.4062379813, 0.4363639509]"
NC(C(=O)O)=C(C=CC=O)C(=O)O,"[-0.7640758737, 0.1422207081, 0.2943411725, -0.2378454691, -0.4927558913, -0.0324481163, -0.0874722928, -0.1167001262, 0.1170821915, -0.3636520808, 0.2846063542, -0.2722179574, -0.4984100652, 0.3860130109, 0.3623968791, 0.4083505925, 0.1417865064, 0.1749473849, 0.1476758093, 0.4061572635]"
CC(=O)C(=O)C1=N[C@H]2C(=O)NC(N)=N[C@H]2N(O)[C@@H]1O,"[-0.2702231032, 0.2212796684, -0.5614214073, 0.159833404, -0.3681265973, 0.1272981568, -0.2911855309, 0.0531854191, 0.3705433867, -0.3224737026, -0.4993667337, 0.3865537874, -0.7545226312, -0.4768478904, 0.1024232162, -0.3129004033, -0.3407808308, -0.0089382724, -0.4819249066, 0.1275891712, 0.1389778168, 0.13436491, 0.1531006901, 0.4045010579, 0.3868562103, 0.401403248, 0.1362290036, 0.4450983731, 0.2320584089, 0.707416081]"
NC(=CC=CC(=O)O)C(=O)O,"[-0.7447462621, 0.1157793108, -0.1544407656, -0.0744243171, -0.1412021062, 0.3035260264, -0.3804969294, -0.4834980604, 0.3209669726, -0.3581808215, -0.4717163863, 0.392400407, 0.3955792744, 0.128633505, 0.150129995, 0.1250115598, 0.4401612934, 0.4365173042]"
N[C@H](C=O)C(=O)O,"[-0.76956118, 0.0108606737, 0.1576107541, -0.3175589143, 0.3096195071, -0.3647537302, -0.4818664444, 0.3374889588, 0.3606522335, 0.1428042766, 0.1758614226, 0.4388424425]"
NC(=CC=CC=O)C(=O)O,"[-0.7493326018, 0.1126467163, -0.1522063391, -0.0944339421, -0.122629059, 0.1104243015, -0.369308787, 0.3203586081, -0.3600480968, -0.4708767301, 0.3863378052, 0.3946964465, 0.1323594019, 0.1396540518, 0.1426226458, 0.1421243469, 0.4376112319]"
C[C@@](O)(CO)[C@H](O)COP(=O)(O)O,"[-0.3029200267, 0.069689401, -0.5175966618, -0.0876403069, -0.5568920148, 0.0179898405, -0.5220473768, -0.0865370228, -0.2791098283, 0.6605072577, -0.4559264925, -0.4978706284, -0.4695297513, 0.1174878891, 0.1055469273, 0.1009688818, 0.3891054773, 0.1243588054, 0.1338861746, 0.3967887925, 0.1498900303, 0.4074271264, 0.1293183016, 0.1150335969, 0.4281576103, 0.4299139974]"
O=C(O)C=CC=C(C(=O)O)C(=O)O,"[-0.3386712247, 0.3156104349, -0.4689687637, -0.0692364606, -0.0861101791, -0.0416847115, -0.0081492682, 0.3255549367, -0.337486777, -0.5133361185, 0.3201865231, -0.3602443673, -0.4760065026, 0.435376476, 0.1686623351, 0.1676150462, 0.1682377677, 0.3726586058, 0.4259922477]"
O=CCCl,"[-0.3437424831, 0.1376379723, -0.1216729701, -0.121304939, 0.1489482991, 0.1500671575, 0.1500669632]"
OCCCl,"[-0.5546000633, -0.0857783539, -0.128322917, -0.1277161229, 0.4103777069, 0.1122844292, 0.1122855261, 0.1307353541, 0.1307344407]"
